mlbid,fullname,firstname,lastname,position,priority_pos,projection_name,ip,w,sv,k,era,whip,w_zscore,sv_zscore,k_zscore,era_zscore,whip_zscore,unadjusted_zsum,replacement_pos,adjustment_zscore,final_zsum,value,hit_pitch
533167.0,Matt Shoemaker,Matt,Shoemaker,SP,SP,steamer,194.0,12.0,0.0,169.0,3.85,1.2,1.5492197448913583,-0.6192333315455485,1.282437166207347,-2.087917884788328,-1.7651541813958498,-1.640648486631021,SP,0.6596060982602885,-0.9810423883707324,-9.5,p
445060.0,Ricky Nolasco,Ricky,Nolasco,SP,SP,steamer,176.0,10.0,0.0,132.0,4.17,1.28,1.0562083785612908,-0.6192333315455485,0.6126180091097344,-2.0228796195199705,-1.652107947447625,-2.625394510842119,SP,0.6596060982602885,-1.9657884125818303,-20.0,p
572070.0,Garrett Richards,Garrett,Richards,SP,SP,steamer,158.0,10.0,0.0,143.0,3.54,1.29,1.0562083785612908,-0.6192333315455485,0.8117534341928084,-1.1480197492691877,-1.3295052638666534,-1.2287965319272902,SP,0.6596060982602885,-0.5691904336670017,-5.1,p
572140.0,Tyler Skaggs,Tyler,Skaggs,SP,SP,steamer,136.0,9.0,0.0,134.0,3.57,1.24,0.8097026953962569,-0.6192333315455485,0.6488244500339297,-0.7782336185446295,-0.8006533343056752,-0.7395931389656665,SP,0.6596060982602885,-0.07998704070537799,0.1,p
445926.0,Jesse Chavez,Jesse,Chavez,SP,SP,steamer,130.0,8.0,0.0,114.0,3.97,1.28,0.5631970122312231,-0.6192333315455485,0.28676004079197703,-0.9314593621429628,-0.7669799880232255,-1.4677156286885367,SP,0.6596060982602885,-0.8081095304282482,-7.6,p
543542.0,Alex Meyer,Alex,Meyer,SP,SP,steamer,89.0,6.0,0.0,92.0,3.92,1.33,0.07018564590115549,-0.6192333315455485,-0.11151080937417096,-0.09357810496463496,-0.04495729965444298,-0.7990938996376419,SP,0.6596060982602885,-0.1394878013773534,-0.5,p
500724.0,JC Ramirez,JC,Ramirez,SP,SP,steamer,82.0,4.0,0.0,64.0,4.2,1.39,-0.42282572042891214,-0.6192333315455485,-0.6184009823129047,-0.07113038320791402,0.021036445961608776,-1.7105539715336706,SP,0.6596060982602885,-1.0509478732733821,-10.2,p
592135.0,Cam Bedrosian,Cam,Bedrosian,RP,RP,steamer,65.0,3.0,33.0,73.0,3.26,1.25,-0.6693314035939459,2.0461623129331166,-0.45547199815402606,0.5927810303558251,0.5130581530261569,2.0271980945671264,RP,-0.07979051039360607,1.9474075841735203,21.8,p
457732.0,Andrew Bailey,Andrew,Bailey,RP,RP,steamer,65.0,3.0,2.0,60.0,4.0,1.3,-0.6693314035939459,-0.4576942015771446,-0.6908138641612953,0.3517686606017432,0.4642017354288522,-1.0018690733017905,RP,-0.07979051039360607,-1.0816595836953966,-10.5,p
573046.0,Mike Morin,Mike,Morin,RP,RP,steamer,55.0,3.0,0.0,51.0,3.6,1.23,-0.6693314035939459,-0.6192333315455485,-0.853742848320174,0.6624290956277946,0.7175034697410317,-0.7623750180908421,RP,-0.07979051039360607,-0.8421655284844481,-8.0,p
434718.0,Huston Street,Huston,Street,RP,RP,steamer,55.0,3.0,0.0,44.0,4.42,1.36,-0.6693314035939459,-0.6192333315455485,-0.9804653915548575,0.43644868240723145,0.6100193510269614,-1.222562093260159,RP,-0.07979051039360607,-1.3023526036537652,-12.9,p
501625.0,Jose Alvarez,Jose,Alvarez,RP,RP,steamer,40.0,2.0,0.0,34.0,3.71,1.31,-0.9158370867589798,-0.6192333315455485,-1.1614975961758338,0.9109574436486356,0.9467528138514613,-0.8388577569802652,RP,-0.07979051039360607,-0.9186482673738713,-8.8,p
453284.0,Blake Parker,Blake,Parker,RP,RP,steamer,35.0,2.0,0.0,35.0,3.7,1.25,-0.9158370867589798,-0.6192333315455485,-1.1433943757137361,1.005658769809803,1.0767860483796723,-0.5960199758287892,RP,-0.07979051039360607,-0.6758104862223953,-6.2,p
433589.0,Yusmeiro Petit,Yusmeiro,Petit,RP,RP,steamer,30.0,1.0,0.0,25.0,4.06,1.23,-1.1623427699240136,-0.6192333315455485,-1.3244265803347126,1.0442407915791676,1.1797603439309146,-0.8820015462941926,RP,-0.07979051039360607,-0.9617920566877987,-9.3,p
657670.0,Greg Mahle,Greg,Mahle,RP,RP,steamer,20.0,1.0,0.0,15.0,4.12,1.41,-1.1623427699240136,-0.6192333315455485,-1.5054587849556889,1.2416604873860453,1.31054521565293,-0.7348291833862757,RP,-0.07979051039360607,-0.8146196937798817,-7.7,p
553883.0,Vicente Campos,Vicente,Campos,SP,SP,steamer,19.0,1.0,0.0,14.0,4.44,1.37,-1.1623427699240136,-0.6192333315455485,-1.5235620054177865,1.2318396091174797,1.3431662698640534,-0.7301322279058156,SP,0.6596060982602885,-0.07052612964552707,0.2,p
489446.0,Kirby Yates,Kirby,Yates,RP,RP,steamer,15.0,1.0,0.0,16.0,3.68,1.26,-1.1623427699240136,-0.6192333315455485,-1.4873555644935912,1.3779502266232808,1.450349733700602,-0.44063170563927057,RP,-0.07979051039360607,-0.5204222160328766,-4.6,p
502032.0,Bud Norris,Bud,Norris,RP,RP,steamer,10.0,1.0,0.0,9.0,3.58,1.22,-1.1623427699240136,-0.6192333315455485,-1.6140781077282746,1.4751568788733678,1.5510691176704299,-0.36942821265403913,P,0.43465781012771054,0.06522959747367141,1.7,p
642091.0,Nate Smith,Nate,Smith,RP,RP,steamer,10.0,1.0,0.0,8.0,3.69,1.26,-1.1623427699240136,-0.6192333315455485,-1.6321813281903723,1.4696451614777444,1.5450560201199925,-0.3990562480621975,P,0.43465781012771054,0.035601562065513015,1.4,p
572044.0,Brooks Pounders,Brooks,Pounders,RP,RP,steamer,10.0,0.0,0.0,10.0,3.86,1.29,-1.4088484530890473,-0.6192333315455485,-1.595974887266177,1.461127052775417,1.540546196957164,-0.6223834221681916,RP,-0.07979051039360607,-0.7021739325617977,-6.5,p
641871.0,Keynan Middleton,Keynan,Middleton,RP,RP,steamer,10.0,0.0,0.0,9.0,4.17,1.41,-1.4088484530890473,-0.6192333315455485,-1.6140781077282746,1.4455940310241144,1.522506904305852,-0.6740589570329041,RP,-0.07979051039360607,-0.7538494674265102,-7.0,p
571760.0,Andrew Heaney,Andrew,Heaney,SP,SP,steamer,9.0,1.0,0.0,8.0,4.05,1.28,-1.1623427699240136,-0.6192333315455485,-1.6321813281903723,1.471899954957772,1.5612913835061737,-0.3805660911959887,SP,0.6596060982602885,0.27904000706429977,4.0,p
642229.0,Daniel Wright,Daniel,Wright,SP,SP,steamer,9.0,1.0,0.0,6.0,4.7,1.38,-1.1623427699240136,-0.6192333315455485,-1.6683877691145677,1.4425876397174107,1.5477619140176893,-0.45961431684902987,SP,0.6596060982602885,0.19999178141125862,3.1,p
502260.0,Vinnie Pestano,Vinnie,Pestano,RP,RP,steamer,1.0,0.0,0.0,1.0,3.84,1.27,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6352973224771195,1.7153770082361346,-0.4363113253463975,RP,-0.07979051039360607,-0.5161018357400036,-4.5,p
500610.0,Deolis Guerra,Deolis,Guerra,RP,RP,steamer,1.0,0.0,0.0,1.0,3.92,1.28,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.634896470302892,1.7152266807973735,-0.43686250495938594,RP,-0.07979051039360607,-0.516653015352992,-4.5,p
592332.0,Kevin Gausman,Kevin,Gausman,SP,SP,steamer,178.0,11.0,0.0,166.0,4.07,1.27,1.3027140617263244,-0.6192333315455485,1.228127504821054,-1.975478849917609,-1.6638334876709782,-1.7277041025867572,SP,0.6596060982602885,-1.0680980043264687,-10.4,p
489119.0,Wade Miley,Wade,Miley,SP,SP,steamer,172.0,11.0,0.0,134.0,4.3,1.39,1.3027140617263244,-0.6192333315455485,0.6488244500339297,-2.0513401238900997,-1.8595598129377184,-2.5785947566131124,SP,0.6596060982602885,-1.918988658352824,-19.5,p
605164.0,Dylan Bundy,Dylan,Bundy,SP,SP,steamer,148.0,9.0,0.0,131.0,4.67,1.37,0.8097026953962569,-0.6192333315455485,0.5945147886476368,-1.808624132395552,-1.3135705553579942,-2.337210535255201,SP,0.6596060982602885,-1.6776044369949124,-16.9,p
501957.0,Chris Tillman,Chris,Tillman,SP,SP,steamer,130.0,8.0,0.0,103.0,4.72,1.42,0.5631970122312231,-0.6192333315455485,0.08762461570890302,-1.4199979494823178,-1.0405759265681316,-2.4289855796558717,SP,0.6596060982602885,-1.7693794813955832,-17.9,p
434622.0,Ubaldo Jimenez,Ubaldo,Jimenez,SP,SP,steamer,109.0,6.0,0.0,93.0,4.65,1.45,0.07018564590115549,-0.6192333315455485,-0.09340758891207333,-0.8851108294979471,-0.6414565766578424,-2.169022680712256,SP,0.6596060982602885,-1.5094165824519674,-15.1,p
592869.0,Tyler Wilson,Tyler,Wilson,SP,SP,steamer,82.0,5.0,0.0,52.0,4.98,1.44,-0.17632003726387832,-0.6192333315455485,-0.8356396278580763,-0.3916116965025308,-0.0405978039303757,-2.0634024971004097,SP,0.6596060982602885,-1.4037963988401212,-14.0,p
605541.0,Mike Wright,Mike,Wright,SP,SP,steamer,72.0,4.0,0.0,49.0,5.27,1.46,-0.42282572042891214,-0.6192333315455485,-0.8899492892443693,-0.246703635519411,0.15422655670379912,-2.0244854200344418,SP,0.6596060982602885,-1.3648793217741533,-13.6,p
502154.0,Zach Britton,Zach,Britton,RP,RP,steamer,65.0,4.0,33.0,74.0,2.51,1.16,-0.42282572042891214,2.0461623129331166,-0.4373687776919284,0.8370503240255026,0.6009997047013054,2.624017843539084,RP,-0.07979051039360607,2.544227333145478,28.2,p
503285.0,Darren O'Day,Darren,O'Day,RP,RP,steamer,65.0,3.0,2.0,67.0,3.94,1.25,-0.6693314035939459,-0.4576942015771446,-0.56409132092661185,0.3713102040953173,0.5130581530261569,-0.8067485689762282,RP,-0.07979051039360607,-0.8865390793698342,-8.5,p
